system:index,th,vs,.geo
1_0,183.0055,3.2002747,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.6674490321888,34.297677547683335]}"
2_0,206.14285,2.3156593,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.0925272503523,33.86648621130596]}"
3_0,186.12637,2.4354396,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.23625769581143,34.04614926812987]}"
4_0,199.21153,3.7961538,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.66133591397494,34.22581232495377]}"
5_0,235.56868,2.4587913,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.02066202762273,33.61495793175249]}"
6_0,173.63187,3.4291208,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.48778597536489,34.40547538177768]}"
7_0,183.0055,3.187088,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.73931425491836,34.297677547683335]}"
8_0,186.89835,2.9131868,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.12845986171708,34.36954277041289]}"
9_0,183.0055,3.2002747,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.6674490321888,34.297677547683335]}"
10_0,193.48352,2.917033,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.95490992310704,34.26174493631855]}"
11_0,183.0055,3.2107143,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.63151642082401,34.26174493631855]}"
12_0,184.62912,2.3692307,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.05659463898752,34.04614926812987]}"
13_0,198.6978,3.2120879,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.62540330261015,33.61495793175249]}"
14_0,186.12637,2.3604395,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.12845986171708,34.01021665676509]}"
15_0,200.17857,3.8233516,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.55353807988058,34.26174493631855]}"
17_0,184.04945,3.092033,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.99084253447182,34.441407993142455]}"
18_0,191.87912,4.1228023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.98472941625796,34.441407993142455]}"
19_0,201.71979,2.412088,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.98472941625796,33.83055359994118]}"
20_0,203.68407,2.901099,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.76913374806928,33.686823154482056]}"
21_0,192.27747,4.9434066,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.87693158216362,34.58513843860158]}"
22_0,198.6978,3.0167582,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.7332011367045,33.50716009765815]}"
23_0,191.87912,4.3582416,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.94879680489318,34.441407993142455]}"
24_0,196.5467,3.6585164,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.88304470037748,34.76480149542548]}"
25_0,193.46153,2.8901098,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.34405552990577,34.18987971358899]}"
26_0,191.64835,2.8428571,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.6674490321888,34.11801449085943]}"
27_0,187.47253,2.5403845,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.0925272503523,34.22581232495377]}"
28_0,186.89835,2.6420329,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.12845986171708,34.33361015904811]}"
29_0,191.87912,4.51978,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.91286419352839,34.47734060450723]}"
30_0,200.32967,2.5505495,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.84099897079884,33.86648621130596]}"
31_0,195.84065,2.853846,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.59558380945923,34.11801449085943]}"
32_0,192.37363,2.303022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.34405552990577,33.90241882267074]}"
33_0,174.37363,3.1837912,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.12845986171708,34.40547538177768]}"
34_0,193.46153,2.9387362,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.34405552990577,34.22581232495377]}"
35_0,195.77197,4.5395603,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.66133591397494,34.441407993142455]}"
36_0,194.32143,4.956319,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.76913374806928,34.36954277041289]}"
38_0,192.04121,4.4870877,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.98472941625796,34.65700366133114]}"
39_0,190.4478,4.3673077,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.05659463898752,34.65700366133114]}"
40_0,174.37363,3.3565934,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.16439247308186,34.441407993142455]}"
43_0,199.21153,3.24011,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.62540330261015,34.15394710222421]}"
45_0,187.04945,2.3324175,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.0925272503523,33.9742840454003]}"
46_0,191.64835,2.6964285,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.63151642082401,34.04614926812987]}"
47_0,176.43681,3.1524725,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.81117947764791,34.26174493631855]}"
48_0,201.71979,2.4164834,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.91286419352839,33.86648621130596]}"
49_0,171.4011,3.304945,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.77524686628314,34.5492058272368]}"
50_0,184.62912,2.3821428,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.02066202762273,34.04614926812987]}"
51_0,194.88461,2.8554945,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.45185336400012,34.11801449085943]}"
52_0,174.37363,3.141209,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.23625769581143,34.40547538177768]}"
53_0,198.54121,4.4142857,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.69726852533971,34.692936272695924]}"
54_0,174.04121,3.3093407,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.73931425491836,34.51327321587202]}"
55_0,194.88461,2.8554945,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.45185336400012,34.11801449085943]}"
56_0,190.4478,4.2535715,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.02066202762273,34.7288688840607]}"
57_0,186.12637,2.3901098,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.12845986171708,34.04614926812987]}"
58_0,176.56319,3.3851647,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.2721903071762,34.441407993142455]}"
59_0,174.04121,3.3478022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.70338164355357,34.51327321587202]}"
60_0,189.22803,3.325,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.55965119809446,34.33361015904811]}"
62_0,174.37363,3.7217033,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.16439247308186,34.47734060450723]}"
63_0,194.5467,3.3038461,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.48778597536489,34.297677547683335]}"
65_0,201.71979,2.4774725,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.91286419352839,33.7946209885764]}"
66_0,190.2967,2.2895603,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.16439247308186,33.90241882267074]}"
67_0,224.31044,2.4903846,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.30812291854099,33.75868837721162]}"
68_0,195.17308,2.4464285,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.84099897079884,33.9742840454003]}"
70_0,205.8544,2.871978,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.95490992310704,34.15394710222421]}"
72_0,192.04121,4.543132,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.91286419352839,34.65700366133114]}"
73_0,198.63461,3.1593406,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.66133591397494,33.686823154482056]}"
74_0,195.84065,2.56978,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.55965119809446,34.01021665676509]}"
75_0,194.12088,2.3184066,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.41592075263533,33.90241882267074]}"
76_0,171.9478,3.9961538,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.23625769581143,34.51327321587202]}"
77_0,199.11264,4.281868,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.55353807988058,34.7288688840607]}"
79_0,199.21153,3.7961538,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.62540330261015,34.22581232495377]}"
81_0,187.72253,4.340659,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.20032508444665,34.65700366133114]}"
82_0,198.63461,3.0412087,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.7332011367045,33.65089054311728]}"
83_0,208.9945,2.9648352,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.55353807988058,34.04614926812987]}"
84_0,171.4011,3.2648351,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.81117947764791,34.58513843860158]}"
85_0,198.63461,3.098901,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.69726852533971,33.72275576584684]}"
86_0,173.54945,3.1302197,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.99084253447182,34.58513843860158]}"
87_0,200.95055,4.446978,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.51760546851581,34.62107104996636]}"
88_0,224.31044,2.317857,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.30812291854099,33.83055359994118]}"
89_0,197.07417,4.047802,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.69726852533971,34.76480149542548]}"
90_0,195.1099,4.372253,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.66133591397494,34.297677547683335]}"
92_0,224.97803,2.462912,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.94879680489318,33.579025320387714]}"
94_0,197.04121,4.597253,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.66133591397494,34.62107104996636]}"
95_0,203.68407,2.7379122,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.80506635943405,33.72275576584684]}"
96_0,179.29396,3.7445054,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.81117947764791,34.7288688840607]}"
97_0,193.46153,2.781044,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.34405552990577,34.15394710222421]}"
98_0,201.71979,2.4524724,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.94879680489318,33.83055359994118]}"
99_0,192.8379,2.43489,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.87693158216362,34.04614926812987]}"
100_0,199.81593,3.2346153,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.48778597536489,34.22581232495377]}"
101_0,186.67033,2.9843407,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.6674490321888,34.15394710222421]}"
102_0,190.73352,3.9535713,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.48778597536489,34.65700366133114]}"
103_0,194.88461,2.6843407,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.48778597536489,34.04614926812987]}"
104_0,193.48352,2.9376373,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.99084253447182,34.33361015904811]}"
105_0,195.77197,4.645055,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.69726852533971,34.40547538177768]}"
107_0,175.51099,3.7458792,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.55965119809446,34.62107104996636]}"
108_0,191.01648,2.9005494,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.94879680489318,34.18987971358899]}"
109_0,192.27747,4.7442307,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.98472941625796,34.5492058272368]}"
110_0,196.5467,3.635989,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.91897731174227,34.76480149542548]}"
111_0,201.71979,2.55522,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.87693158216362,33.75868837721162]}"
112_0,190.73352,4.299725,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.48778597536489,34.7288688840607]}"
113_0,189.61539,3.1684065,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.34405552990577,34.36954277041289]}"
114_0,198.5055,3.045055,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.55353807988058,33.7946209885764]}"
115_0,186.12637,2.4354396,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.23625769581143,34.082081879494645]}"
116_0,216.10165,2.379945,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.12845986171708,33.7946209885764]}"
118_0,208.01099,2.8615384,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.76913374806928,33.543092709022936]}"
119_0,175.81319,3.839011,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.48778597536489,34.62107104996636]}"
120_0,179.29396,3.6228023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.81117947764791,34.65700366133114]}"
121_0,193.46153,2.5791209,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.2721903071762,34.15394710222421]}"
122_0,192.04121,4.35522,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.98472941625796,34.692936272695924]}"
123_0,189.22803,3.2782967,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.52371858672967,34.26174493631855]}"
124_0,194.32143,5.058242,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.80506635943405,34.33361015904811]}"
125_0,185.39835,2.937912,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.02066202762273,34.26174493631855]}"
126_0,205.8544,2.9458792,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.88304470037748,34.22581232495377]}"
127_0,173.62912,3.7447803,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.99084253447182,34.692936272695924]}"
129_0,192.67583,4.467033,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.84099897079884,34.692936272695924]}"
130_0,190.48077,3.4354396,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.98472941625796,34.297677547683335]}"
131_0,193.46153,2.781044,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.34405552990577,34.15394710222421]}"
133_0,193.41484,2.3925824,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.87693158216362,33.938351434035525]}"
134_0,195.9945,2.675,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.81117947764791,34.04614926812987]}"
135_0,195.9945,2.685989,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.77524686628314,34.082081879494645]}"
136_0,197.74176,2.7442307,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.69726852533971,33.90241882267074]}"
137_0,203.68407,2.6675825,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.84099897079884,33.65089054311728]}"
138_0,171.57143,3.4532967,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.59558380945923,34.47734060450723]}"
139_0,186.89835,2.832967,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.20032508444665,34.36954277041289]}"
140_0,200.95055,4.5340657,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.55353807988058,34.58513843860158]}"
141_0,186.12637,2.364011,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.20032508444665,34.01021665676509]}"
142_0,211.06044,2.4991758,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.91286419352839,33.72275576584684]}"
143_0,192.8379,2.403022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.91286419352839,34.04614926812987]}"
144_0,187.72253,4.2840657,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.12845986171708,34.692936272695924]}"
145_0,201.71979,2.4164834,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.91286419352839,33.86648621130596]}"
146_0,200.95055,4.5340657,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.55353807988058,34.58513843860158]}"
147_0,247.56868,2.6854396,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.37998814127054,33.72275576584684]}"
148_0,190.2967,2.292033,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.23625769581143,33.90241882267074]}"
149_0,195.1099,4.372253,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.62540330261015,34.33361015904811]}"
150_0,198.63461,3.1675825,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.69726852533971,33.686823154482056]}"
151_0,195.78021,4.090659,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.87693158216362,34.76480149542548]}"
152_0,203.68407,2.6846154,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.84099897079884,33.686823154482056]}"
153_0,170.9066,3.2324176,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.73931425491836,34.40547538177768]}"
155_0,198.82143,4.079945,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.51760546851581,34.40547538177768]}"
157_0,174.04121,3.3425825,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.73931425491836,34.5492058272368]}"
158_0,173.63187,3.595879,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.41592075263533,34.47734060450723]}"
159_0,198.18407,2.9247253,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.7332011367045,33.7946209885764]}"
160_0,200.54396,2.5848901,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.69726852533971,34.082081879494645]}"
161_0,194.32143,5.058242,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.80506635943405,34.33361015904811]}"
162_0,199.81593,3.1967032,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.45185336400012,34.18987971358899]}"
